date,Tair0.75m (oC),Tair3m (oC),Tair5m (oC),Tair7m (oC),Tair9m (oC),Tair11m (oC),Tair14m (oC),Tair17m (oC),Tair21m (oC),Tair25m (oC),Tair28m (oC)
2005-09-01 00:00:00,23.515,23.89166667,23.97166667,23.99333333,24.04,24.03,24.06666667,24.07666667,24.035,23.995,23.94
2005-09-01 01:00:00,23.30333333,23.665,23.755,23.78666667,23.835,23.82833333,23.87166667,23.89666667,23.88,23.855,23.8
2005-09-01 02:00:00,22.96,23.21,23.285,23.30666667,23.35666667,23.36166667,23.42,23.44833333,23.44333333,23.43166667,23.38333333
2005-09-01 03:00:00,23.11166667,23.29166667,23.32666667,23.32,23.35166667,23.34,23.385,23.41833333,23.40833333,23.38666667,23.34
2005-09-01 04:00:00,23.2,23.30666667,23.31666667,23.30166667,23.32166667,23.295,23.31333333,23.31666667,23.28166667,23.24666667,23.19166667
2005-09-01 05:00:00,22.94,23.03333333,23.02166667,22.99833333,23.00666667,22.98833333,22.99666667,22.98333333,22.93833333,22.89833333,22.84
2005-09-01 06:00:00,23.495,23.605,23.61166667,23.645,23.57833333,23.56333333,23.55833333,23.50166667,23.45,23.42,23.315
2005-09-01 07:00:00,24.64,24.85,24.83333333,24.89333333,24.825,24.78333333,24.655,24.57833333,24.42,24.39,24.19333333
2005-09-01 08:00:00,26.47,26.705,26.46666667,26.635,26.51833333,26.45333333,26.29333333,26.18,26.16833333,26.13333333,25.88833333
2005-09-01 09:00:00,28.88333333,28.585,28.43,28.48666667,28.40666667,28.335,28.06833333,27.89333333,27.84333333,27.645,27.69166667
2005-09-01 10:00:00,29.915,29.48166667,29.42166667,29.44,29.41,29.39333333,29.07,28.83833333,28.46833333,28.19333333,28.52833333
2005-09-01 11:00:00,30.90666667,30.31166667,30.23666667,30.22333333,30.195,30.17333333,29.855,29.67,29.245,28.91833333,29.29333333
2005-09-01 12:00:00,31.27166667,30.70833333,30.67833333,30.64833333,30.60333333,30.57166667,30.25,30.04666667,29.59,29.30333333,29.535
2005-09-01 13:00:00,31.185,31.325,31.39166667,31.345,31.27833333,31.245,31.055,30.835,30.35,30.085,30.29333333
2005-09-01 14:00:00,31.17333333,31.33833333,31.45666667,31.43333333,31.41666667,31.385,31.27833333,31.055,30.65666667,30.49166667,30.59666667
2005-09-01 15:00:00,31.05833333,31.27333333,31.34833333,31.33333333,31.34333333,31.355,31.28,31.06,30.67166667,30.56,30.645
2005-09-01 16:00:00,30.16333333,30.23333333,30.25166667,30.25,30.26333333,30.21166667,30.14333333,29.985,29.72,29.61666667,29.585
2005-09-01 17:00:00,28.83166667,28.87333333,28.855,28.87166667,28.885,28.81,28.77333333,28.70833333,28.59333333,28.505,28.44
2005-09-01 18:00:00,27.70666667,27.8,27.775,27.77,27.78166667,27.70833333,27.69333333,27.65833333,27.58166667,27.51833333,27.45833333
2005-09-01 19:00:00,26.90666667,26.985,26.975,26.97833333,26.97833333,26.91166667,26.92,26.90333333,26.85,26.8,26.74833333
2005-09-01 20:00:00,26.49333333,26.58666667,26.57166667,26.57,26.57833333,26.52666667,26.53833333,26.53833333,26.49,26.44666667,26.395
2005-09-01 21:00:00,26.00666667,26.155,26.15333333,26.17,26.19166667,26.15833333,26.185,26.20166667,26.17166667,26.14333333,26.09833333
2005-09-01 22:00:00,25.60166667,25.83833333,25.87666667,25.90666667,25.93666667,25.92666667,25.96833333,25.98,25.935,25.89666667,25.83833333
2005-09-01 23:00:00,25.115,25.44666667,25.49666667,25.525,25.56333333,25.56333333,25.60833333,25.61666667,25.57166667,25.52833333,25.46666667
