date,Sdown (W m-2),Sup (W m-2),Ldown (W m-2),Lup (W m-2),U (m s-1),Tsonic (oC),q (g kg-1),H (W m-2),LE (W m-2),z'/L
2005-01-02 00:00:00,2.2,0.3,223.1,305.7,3.7581,3.3177,2.0144,-18.741,6.5346,0.088365
2005-01-02 01:00:00,2.7,0.6,221.1,303.2,3.0754,2.9934,2.0217,-13.782,4.3652,0.156
2005-01-02 02:00:00,2.9,0.5,219.8,300.2,3.0179,2.3192,2.1339,-12.794,3.3303,0.28456
2005-01-02 03:00:00,2.9,0.6,217.1,296.7,2.6226,1.5989,2.2223,-9.872,1.9482,0.76004
2005-01-02 04:00:00,3.1,0.4,216.6,295.1,2.0477,1.5347,2.2012,-2.5274,0.59732,-2.2408e-05
2005-01-02 05:00:00,3.1,0.3,216.9,293.7,1.6847,1.4951,2.1821,-2.5017,0.23362,19.446
2005-01-02 06:00:00,5.0,0.6,218.2,293.2,1.9003,1.3582,2.2382,-1.4063,0.85511,-2.2422e-05
2005-01-02 07:00:00,87.4,22.2,230.5,302.6,2.2763,1.3737,2.1762,5.1063,-0.38706,-2.2421e-05
2005-01-02 08:00:00,250.3,38.1,244.3,314.9,1.7213,1.8337,2.178,14.185,16.289,-0.23662
2005-01-02 09:00:00,401.3,46.3,259.0,333.9,0.69401,4.1049,1.8403,42.682,19.334,-23.705
2005-01-02 10:00:00,507.2,58.3,264.9,348.4,0.80165,5.7338,1.4236,120.55,33.652,-2.207e-05
2005-01-02 11:00:00,559.1,63.1,272.4,361.9,0.47994,6.8528,1.1796,126.36,28.894,-1.172
2005-01-02 12:00:00,543.0,66.5,277.6,372.1,0.56348,7.9064,1.6649,126.33,30.103,-10.419
2005-01-02 13:00:00,466.5,66.9,277.9,372.0,1.3049,8.5683,1.8973,97.246,17.897,-2.1848e-05
2005-01-02 14:00:00,330.5,58.6,273.9,365.2,2.3324,8.8393,2.0204,67.518,29.989,-4.6806
2005-01-02 15:00:00,171.3,52.7,267.7,356.2,2.9046,8.8498,2.4563,35.525,21.907,-0.08349
2005-01-02 16:00:00,29.7,10.6,256.9,340.4,2.5796,8.9432,2.806,-2.7629,6.6698,0.02312
2005-01-02 17:00:00,2.9,0.3,256.1,332.4,1.5942,8.9396,2.979,-3.2081,1.1961,0.57764
2005-01-02 18:00:00,2.8,-0.1,258.1,329.1,1.3931,8.9842,2.7802,0.30558,-1.1074,-0.95792
2005-01-02 19:00:00,2.1,-0.3,278.5,329.7,1.7907,8.8831,2.7545,-2.4832,-0.098724,-2.1824e-05
2005-01-02 20:00:00,2.9,0.1,264.3,326.6,1.3192,8.6615,2.8948,-1.7496,-0.077933,-2.1841e-05
2005-01-02 21:00:00,2.6,0.9,262.5,322.7,2.0635,7.3962,3.2451,1.6375,0.73582,-2.1939e-05
2005-01-02 22:00:00,2.3,0.9,252.8,319.0,3.328,5.7327,3.463,-9.9249,2.79,0.29111
2005-01-02 23:00:00,2.3,1.1,245.1,314.8,3.49,4.5632,2.9994,-6.4955,5.7634,0.054446
