swtop,lwtop,wstop,ttop,qtop
2.2,223.1,3.7581,3.3177,2.0144
2.7,221.1,3.0754,2.9934,2.0217
2.9,219.8,3.0179,2.3192,2.1339
2.9,217.1,2.6226,1.5989,2.2223
3.1,216.6,2.0477,1.5347,2.2012
3.1,216.9,1.6847,1.4951,2.1821
5.0,218.2,1.9003,1.3582,2.2382
87.4,230.5,2.2763,1.3737,2.1762
250.3,244.3,1.7213,1.8337,2.178
401.3,259.0,0.69401,4.1049,1.8403
507.2,264.9,0.80165,5.7338,1.4236
559.1,272.4,0.47994,6.8528,1.1796
543.0,277.6,0.56348,7.9064,1.6649
466.5,277.9,1.3049,8.5683,1.8973
330.5,273.9,2.3324,8.8393,2.0204
171.3,267.7,2.9046,8.8498,2.4563
29.7,256.9,2.5796,8.9432,2.806
2.9,256.1,1.5942,8.9396,2.979
2.8,258.1,1.3931,8.9842,2.7802
2.1,278.5,1.7907,8.8831,2.7545
2.9,264.3,1.3192,8.6615,2.8948
2.6,262.5,2.0635,7.3962,3.2451
2.3,252.8,3.328,5.7327,3.463
2.3,245.1,3.49,4.5632,2.9994
2.2,223.1,3.7581,3.3177,2.0144
2.7,221.1,3.0754,2.9934,2.0217
2.9,219.8,3.0179,2.3192,2.1339
2.9,217.1,2.6226,1.5989,2.2223
3.1,216.6,2.0477,1.5347,2.2012
3.1,216.9,1.6847,1.4951,2.1821
5.0,218.2,1.9003,1.3582,2.2382
87.4,230.5,2.2763,1.3737,2.1762
250.3,244.3,1.7213,1.8337,2.178
401.3,259.0,0.69401,4.1049,1.8403
507.2,264.9,0.80165,5.7338,1.4236
559.1,272.4,0.47994,6.8528,1.1796
543.0,277.6,0.56348,7.9064,1.6649
466.5,277.9,1.3049,8.5683,1.8973
330.5,273.9,2.3324,8.8393,2.0204
171.3,267.7,2.9046,8.8498,2.4563
29.7,256.9,2.5796,8.9432,2.806
2.9,256.1,1.5942,8.9396,2.979
2.8,258.1,1.3931,8.9842,2.7802
2.1,278.5,1.7907,8.8831,2.7545
2.9,264.3,1.3192,8.6615,2.8948
2.6,262.5,2.0635,7.3962,3.2451
2.3,252.8,3.328,5.7327,3.463
2.3,245.1,3.49,4.5632,2.9994
2.2,223.1,3.7581,3.3177,2.0144
2.7,221.1,3.0754,2.9934,2.0217
2.9,219.8,3.0179,2.3192,2.1339
2.9,217.1,2.6226,1.5989,2.2223
3.1,216.6,2.0477,1.5347,2.2012
3.1,216.9,1.6847,1.4951,2.1821
5.0,218.2,1.9003,1.3582,2.2382
87.4,230.5,2.2763,1.3737,2.1762
250.3,244.3,1.7213,1.8337,2.178
401.3,259.0,0.69401,4.1049,1.8403
507.2,264.9,0.80165,5.7338,1.4236
559.1,272.4,0.47994,6.8528,1.1796
543.0,277.6,0.56348,7.9064,1.6649
466.5,277.9,1.3049,8.5683,1.8973
330.5,273.9,2.3324,8.8393,2.0204
171.3,267.7,2.9046,8.8498,2.4563
29.7,256.9,2.5796,8.9432,2.806
2.9,256.1,1.5942,8.9396,2.979
2.8,258.1,1.3931,8.9842,2.7802
2.1,278.5,1.7907,8.8831,2.7545
2.9,264.3,1.3192,8.6615,2.8948
2.6,262.5,2.0635,7.3962,3.2451
2.3,252.8,3.328,5.7327,3.463
2.3,245.1,3.49,4.5632,2.9994
2.2,223.1,3.7581,3.3177,2.0144
2.7,221.1,3.0754,2.9934,2.0217
2.9,219.8,3.0179,2.3192,2.1339
2.9,217.1,2.6226,1.5989,2.2223
3.1,216.6,2.0477,1.5347,2.2012
3.1,216.9,1.6847,1.4951,2.1821
5.0,218.2,1.9003,1.3582,2.2382
87.4,230.5,2.2763,1.3737,2.1762
250.3,244.3,1.7213,1.8337,2.178
401.3,259.0,0.69401,4.1049,1.8403
507.2,264.9,0.80165,5.7338,1.4236
559.1,272.4,0.47994,6.8528,1.1796
543.0,277.6,0.56348,7.9064,1.6649
466.5,277.9,1.3049,8.5683,1.8973
330.5,273.9,2.3324,8.8393,2.0204
171.3,267.7,2.9046,8.8498,2.4563
29.7,256.9,2.5796,8.9432,2.806
2.9,256.1,1.5942,8.9396,2.979
2.8,258.1,1.3931,8.9842,2.7802
2.1,278.5,1.7907,8.8831,2.7545
2.9,264.3,1.3192,8.6615,2.8948
2.6,262.5,2.0635,7.3962,3.2451
2.3,252.8,3.328,5.7327,3.463
2.3,245.1,3.49,4.5632,2.9994
2.2,223.1,3.7581,3.3177,2.0144
