,u case 1,u case 2,u case 3,slab,obs
2014-08-04 01:00:00,26.5426044464,28.0600318909,30.0519618988,26.3329238892,27.8
2014-08-04 02:00:00,26.0305633545,27.6817760468,29.4792385101,25.8079032898,26.7
2014-08-04 03:00:00,25.5653018951,27.320268631,28.8118515015,25.3201675415,27.2
2014-08-04 04:00:00,25.192905426,27.0200634003,28.3750801086,24.9249897003,26.7
2014-08-04 05:00:00,24.9733257294,26.8041286469,28.1324806213,24.6477050781,27.1
2014-08-04 06:00:00,26.2363014221,27.4079990387,29.3120422363,25.8275718689,27.6
2014-08-04 07:00:00,29.1178951263,29.0817337036,31.5072288513,27.937379837,28.7
2014-08-04 08:00:00,31.6683349609,30.7896633148,33.3820152283,29.7625160217,29.5
2014-08-04 09:00:00,33.6032447815,32.0802650452,34.4365768433,31.2175102234,31.2
2014-08-04 10:00:00,34.9954833984,33.25730896,35.3273658752,32.3492546082,32.7
2014-08-04 11:00:00,36.0009803772,34.3685798645,36.2244720459,33.1848640442,33.0
2014-08-04 12:00:00,36.6949272156,35.2067489624,36.9521102905,33.7414245605,34.1
2014-08-04 13:00:00,37.0913696289,35.5615463257,37.3117446899,34.0520439148,33.8
2014-08-04 14:00:00,37.200881958,35.6466903687,37.4729728699,34.1631011963,33.6
2014-08-04 15:00:00,37.0066375732,35.5738983154,37.5167274475,34.0766334534,33.8
2014-08-04 16:00:00,36.4977149963,35.2886390686,37.3955116272,33.7751083374,33.0
2014-08-04 17:00:00,35.6102294922,34.3044319153,36.8435134888,33.1913299561,32.0
2014-08-04 18:00:00,33.9820213318,33.2174530029,36.2368812561,31.9405784607,30.8
2014-08-04 19:00:00,31.8738651276,31.7495155334,35.2346611023,29.8371219635,29.6
2014-08-04 20:00:00,30.5139961243,30.8073558807,34.4783630371,28.5768623352,28.7
2014-08-04 21:00:00,29.5470809937,30.1354389191,33.6917037964,28.0181865692,28.7
2014-08-04 22:00:00,28.6012897491,29.4846820831,32.5511245728,27.6568202972,28.3
2014-08-04 23:00:00,27.7809295654,28.9133262634,31.3535842896,27.2821483612,28.2
2014-08-05 00:00:00,27.1416511536,28.4618587494,30.6411972046,26.8226833344,28.0
